Type;Dataset;Run;eval/accuracy;eval/loss;eval/runtime;eval/samples_per_second;eval/steps_per_second;train/epoch;train/global_step;train/learning_rate;train/loss;train/total_flos;train/train_loss;train/train_runtime;train/train_samples_per_second;train/train_steps_per_second
CNN;Ip102Fabi;6;0.80609;0.63948;19.70330;36.64400;0.15200;19.00000;209.00000;0.00094;0.21520;5.37E+17;0.45449;1,529.58870;548.38300;2.15700
CNN;Ip102Fabi;7;0.81025;0.67215;19.64570;36.75100;0.15300;24.00000;264.00000;0.00094;0.21660;6.79E+17;0.39728;1,935.94940;433.27600;1.70500
CNN;Ip102Fabi;8;0.82825;0.67296;19.79440;36.47500;0.15200;30.00000;330.00000;0.00091;0.16530;8.48E+17;0.34634;2,415.15990;347.30600;1.36600
CNN;Ip102Fabi;9;0.81440;0.67799;19.67820;36.69000;0.15200;39.00000;429.00000;0.00088;0.14910;1.10E+18;0.29933;3,135.60140;267.50800;1.05200
CNN;Ip102Fabi;10;0.79778;0.67940;19.78140;36.49900;0.15200;25.00000;275.00000;0.00094;0.21590;7.07E+17;0.38946;2,013.51130;416.58600;1.63900
ViT;Mnist;1;0.99420;0.01733;35.80620;279.28100;1.11700;72.00000;16,920.00000;0.00076;0.24730;3.35E+20;0.34603;37,903.75110;474.88700;1.86000
ViT;Mnist;2;0.99060;0.03034;35.67430;280.31400;1.12100;38.00000;8,930.00000;0.00087;0.32030;1.77E+20;0.51657;19,966.84610;901.49400;3.53100
ViT;Mnist;3;0.99150;0.02704;36.04350;277.44200;1.11000;36.00000;8,460.00000;0.00088;0.26570;1.67E+20;0.34772;19,107.04020;942.06100;3.69000
ViT;Mnist;4;0.99050;0.03027;35.94570;278.19800;1.11300;40.00000;9,400.00000;0.00087;0.29020;1.86E+20;0.34866;21,204.77470;848.86500;3.32500
ViT;Mnist;5;0.99100;0.02905;35.79600;279.36100;1.11700;24.00000;5,640.00000;0.00092;0.31260;1.12E+20;0.37274;12,707.41100;1,416.49600;5.54800
ViT;Mnist;6;0.99180;0.02371;35.73270;279.85600;1.11900;42.00000;9,870.00000;0.00086;0.25960;1.95E+20;0.33421;22,080.92240;815.18300;3.19300
ViT;Mnist;7;0.99340;0.02199;35.51000;281.61100;1.12600;85.00000;19,975.00000;0.00072;0.24420;3.95E+20;0.38586;44,696.11960;402.72000;1.57700
ViT;Mnist;8;0.99120;0.02763;36.30500;275.44400;1.10200;47.00000;11,045.00000;0.00084;0.26110;2.19E+20;0.33710;5,847.92330;731.21800;2.82700
ViT;Mnist;9;0.99460;0.01641;35.89460;278.59400;1.11400;54.00000;12,690.00000;0.00082;0.25520;2.51E+20;0.36678;28,470.33680;632.23700;2.47600
ViT;Mnist;10;0.99200;0.02267;35.31200;283.19300;1.13300;47.00000;11,045.00000;0.00084;0.2524;2.19E+20;0.32260;24,780.43870;726.37900;2.84500
ViT;Fabi;1;0.81717;0.58984;21.48320;33.60800;0.14000;40.00000;440.00000;0.00088;0.17070;8.67E+18;0.37883;4,084.79040;205.34700;0.80800
ViT;Fabi;2;0.82133;0.58294;21.16790;34.10800;0.14200;25.00000;275.00000;0.00094;0.29400;5.42E+18;0.49772;2,575.93310;325.63000;1.28100
ViT;Fabi;3;0.81994;0.58404;21.03120;34.33000;0.14300;33.00000;363.00000;0.00091;0.21970;7.15E+18;0.46446;3,404.51390;246.37900;0.96900
ViT;Fabi;4;0.82410;0.59119;21.40140;33.73600;0.14000;25.00000;275.00000;0.00094;0.27710;5.42E+18;0.49278;2,579.32710;325.20100;1.27900
ViT;Fabi;5;0.81302;0.60565;21.11150;34.19900;0.14200;27.00000;297.00000;0.00094;0.29800;5.85E+18;0.50338;2,784.20190;301.27100;1.18500
ViT;Fabi;6;0.81856;0.62925;21.66060;33.33200;0.13900;21.00000;231.00000;0.00094;0.28350;4.55E+18;0.58844;2,168.32240;386.84300;1.52200
ViT;Fabi;7;0.84349;0.58106;20.93710;34.48400;0.14300;33.00000;363.00000;0.00091;0.21720;7.15E+18;0.45318;3,337.39910;251.33300;0.98900
ViT;Fabi;8;0.80332;0.58118;20.78830;34.73100;0.14400;23.00000;253.00000;0.00094;0.28520;4.99E+18;0.51018;2,320.93120;361.40700;1.42200
ViT;Fabi;9;0.81440;0.64262;20.82610;34.66800;0.14400;24.00000;264.00000;0.00094;0.28850;5.20E+18;0.51469;2,422.81370;346.20900;1.36200
ViT;Fabi;10;0.79917;0.65852;20.75560;34.78600;0.14500;23.00000;253.00000;0.00094;0.28430;4.99E+18;0.54213;2,355.69540;356.07300;1.40100
ViT;Ip102;1;0.64021;1.35570;156.45000;144.57700;0.56900;17.00000;3,502.00000;0.00094;0.68060;6.94E+19;1.10621;12,523.77870;1,260.07500;4.93500
ViT;Ip102;2;0.64048;1.36015;161.83850;139.76300;0.55000;19.00000;3,914.00000;0.00094;0.63120;7.75E+19;1.05684;14,017.33990;1,125.81300;4.40900
ViT;Ip102;3;0.63509;1.35775;157.56160;143.55700;0.56500;17.00000;3,502.00000;0.00094;0.69070;6.94E+19;1.10479;12,596.35820;1,252.81400;4.90600
ViT;Ip102;4;0.64720;1.33216;157.20280;143.88400;0.56600;20.00000;4,120.00000;0.00093;0.60090;8.16E+19;1.02887;14,725.64490;1,071.66100;4.19700
ViT;Ip102;5;0.64216;1.36687;156.72820;144.32000;0.56800;20.00000;4,120.00000;0.00093;0.62570;8.16E+19;1.03416;14,724.75890;1,071.72600;4.19700
ViT;Ip102;6;0.63840;1.34175;157.12200;143.95800;0.56600;16.00000;3,296.00000;0.00095;0.68590;6.53E+19;1.13681;11,790.17710;1,338.47900;5.24200
ViT;Ip102;7;0.64605;1.35728;156.25700;144.75500;0.57000;19.00000;3,914.00000;0.00094;1.05030;7.75E+19;1.05030;14,155.10110;1,114.85600;4.36600
ViT;Ip102;8;0.64061;1.34045;157.29290;143.80200;0.56600;18.00000;3,708.00000;0.00094;0.66110;7.34E+19;1.07029;13,285.26310;1,187.85000;4.65200
ViT;Ip102;9;0.65321;1.33453;157.49740;143.61500;0.56500;20.00000;4,120.00000;0.00093;0.61960;8.16E+19;1.03337;14,765.19950;1,068.79000;4.18600
ViT;Ip102;10;0.63053;1.35535;156.84000;144.21700;0.56700;15.00000;3,090.00000;0.00095;0.70910;6.12E+19;1.16175;11,073.94100;1,425.04800;5.58100
ViT;Ip102Fabi;1;0.82410;0.52841;21.11260;34.19800;0.14200;23.00000;253.00000;0.00094;0.21010;4.99E+18;0.37368;2,367.87910;354.24100;1.39400
ViT;Ip102Fabi;2;0.83795;0.54155;21.41210;33.71900;0.14000;20.00000;220.00000;0.00094;0.20330;4.34E+18;0.40607;2,053.00750;408.57100;1.60700
ViT;Ip102Fabi;3;0.81440;0.59488;21.16370;34.11500;0.14200;18.00000;198.00000;0.00097;0.64630;3.90E+18;0.43075;1,849.17290;453.60800;1.78500
ViT;Ip102Fabi;4;0.82825;0.54608;21.28220;33.92500;0.14100;22.00000;242.00000;0.00094;0.21060;4.77E+18;0.38393;2,259.38920;371.25100;1.46100
ViT;Ip102Fabi;5;0.81025;0.58746;21.04490;34.30800;0.14300;22.00000;242.00000;0.00094;0.21730;4.77E+18;0.38540;2,258.39820;371.41400;1.46100
ViT;Ip102Fabi;6;0.82410;0.55509;21.10870;34.20400;0.14200;20.00000;220.00000;0.00094;0.19600;4.34E+18;0.40396;2,058.69000;407.44400;1.60300
ViT;Ip102Fabi;7;0.81025;0.67215;19.64570;36.75100;0.15300;24.00000;264.00000;0.00094;0.21660;6.79E+17;0.39728;1,935.94940;433.27600;1.70500
ViT;Ip102Fabi;8;0.79778;0.62497;20.71590;34.85300;0.14500;24.00000;264.00000;0.00094;0.20750;5.20E+18;0.36259;2,418.75210;346.79000;1.36400
ViT;Ip102Fabi;9;0.82271;0.55917;20.73380;34.82200;0.14500;33.00000;363.00000;0.00091;0.17310;7.15E+18;0.30525;3,336.02030;251.43700;0.98900
ViT;Ip102Fabi;10;0.83795;0.59744;20.99740;34.38500;0.14300;28.00000;308.00000;0.00091;0.16950;6.07E+18;0.33497;2,827.87800;296.61800;1.16700
